target_kind,complexity,noise_std,model,dim,eig_idx,budget,selected_lr,median_test_rmse,q25_test_rmse,q75_test_rmse,mean_test_rmse,n
general,9,0.1,unconstrained,9,4,1,0.0372759372031493,1.0058090090751648,0.9352272748947144,1.0605227649211884,1.0107193465034168,96
general,9,0.1,unconstrained,9,4,2,0.0372759372031493,0.9515615999698639,0.8899660110473633,1.007968246936798,0.9552067114661137,96
general,9,0.1,unconstrained,9,4,5,0.0372759372031493,0.8947669863700867,0.8358114212751389,0.9584738910198212,0.8898258147140344,96
general,9,0.1,unconstrained,9,4,10,0.0372759372031493,0.855059027671814,0.7960192412137985,0.9029359370470047,0.847123791774114,96
general,9,0.1,unconstrained,9,4,20,0.0372759372031493,0.8028393685817719,0.7541868537664413,0.8783632963895798,0.811194771900773,96
general,9,0.1,unconstrained,9,4,50,0.0138949549437313,0.7470507323741913,0.6888049691915512,0.811201423406601,0.7514691011359295,96
general,9,0.1,unconstrained,9,4,100,0.0372759372031493,0.702878326177597,0.6434998661279678,0.7298405915498734,0.6948741258432468,96
general,9,0.1,unconstrained,9,4,200,0.0372759372031493,0.6350038051605225,0.5950005948543549,0.6746186912059784,0.63804583872358,96
general,9,0.1,unconstrained,9,4,500,0.0372759372031493,0.554465651512146,0.5131373554468155,0.6009877175092697,0.5595305040478706,96
general,9,0.1,unconstrained,15,7,1,0.0372759372031493,0.957293838262558,0.8917620331048965,1.020475298166275,0.9613810194035372,96
general,9,0.1,unconstrained,15,7,2,0.0372759372031493,0.9170124232769012,0.8626672476530075,0.9682707488536835,0.9225167005012432,96
general,9,0.1,unconstrained,15,7,5,0.0138949549437313,0.8496298491954803,0.8050040900707245,0.9112998843193053,0.8516188325981299,96
general,9,0.1,unconstrained,15,7,10,0.0138949549437313,0.8161544799804688,0.7598669230937958,0.8681586384773254,0.8142959972222646,96
general,9,0.1,unconstrained,15,7,20,0.0138949549437313,0.7591404616832733,0.7209713459014893,0.8153539150953293,0.7682609924425682,96
general,9,0.1,unconstrained,15,7,50,0.0138949549437313,0.69573575258255,0.6454501897096634,0.7626454085111618,0.7010349985212088,96
general,9,0.1,unconstrained,15,7,100,0.0138949549437313,0.6431533396244049,0.5977832525968552,0.6996016502380371,0.6478492747992277,96
general,9,0.1,unconstrained,15,7,200,0.0138949549437313,0.5856083929538727,0.5361756980419159,0.6351820230484009,0.587505443332096,96
general,9,0.1,unconstrained,15,7,500,0.0138949549437313,0.48868077993392944,0.4448142945766449,0.5435408800840378,0.4966732216998935,96
general,13,0.0,unconstrained,5,2,1,0.0372759372031493,1.0921644568443298,1.0349834263324738,1.1658893823623655,1.0993930759529273,96
general,13,0.0,unconstrained,5,2,2,0.1,1.015540063381195,0.9679441452026367,1.0666707754135132,1.0182877990106742,96
general,13,0.0,unconstrained,5,2,5,0.0372759372031493,0.9511573314666748,0.9085490852594375,0.9965572059154512,0.9563726062575976,96
general,13,0.0,unconstrained,5,2,10,0.0372759372031493,0.9274287223815918,0.8855223953723907,0.961597502231598,0.921727596471707,96
general,13,0.0,unconstrained,5,2,20,0.0372759372031493,0.8891996145248413,0.853838637471199,0.9229616969823837,0.8910829536616802,96
general,13,0.0,unconstrained,5,2,50,0.0138949549437313,0.8644369840621948,0.8267127275466919,0.8962916880846024,0.8654849485804638,96
general,13,0.0,unconstrained,5,2,100,0.0138949549437313,0.8482645750045776,0.8120360821485519,0.8858081698417664,0.8501644469797611,96
general,13,0.0,unconstrained,5,2,200,0.0372759372031493,0.8330352902412415,0.7898876368999481,0.8768028914928436,0.836545791476965,96
general,13,0.0,unconstrained,5,2,500,0.0372759372031493,0.8164511620998383,0.7686184048652649,0.8465327620506287,0.8143389200170835,96
general,13,0.0,unconstrained,9,4,1,0.0372759372031493,1.0122774243354797,0.9594993442296982,1.0809656977653503,1.0328269557406504,96
general,13,0.0,unconstrained,9,4,2,0.0372759372031493,0.9700118899345398,0.9207874983549118,1.0290127098560333,0.9770803637802601,96
general,13,0.0,unconstrained,9,4,5,0.0372759372031493,0.9237770438194276,0.8880401104688644,0.9678002148866652,0.9324949625879526,96
general,13,0.0,unconstrained,9,4,10,0.0138949549437313,0.895160585641861,0.8527812957763672,0.9347863346338272,0.8967234256366888,96
general,13,0.0,unconstrained,9,4,20,0.0138949549437313,0.8754273951053619,0.8234938085079193,0.9113571345806123,0.8741159550845623,96
general,13,0.0,unconstrained,9,4,50,0.0138949549437313,0.840167373418808,0.8034742474555969,0.8787231892347336,0.8446307325114807,96
general,13,0.0,unconstrained,9,4,100,0.0138949549437313,0.8157016336917877,0.7771736979484558,0.8619904667139053,0.822345677142342,96
general,13,0.0,unconstrained,9,4,200,0.0138949549437313,0.7908709049224854,0.7497537136077881,0.8349288702011108,0.7960647425303856,96
general,13,0.0,unconstrained,9,4,500,0.0138949549437313,0.7483434975147247,0.70506252348423,0.7903047204017639,0.7522738159944614,96
general,13,0.0,unconstrained,15,7,1,0.0138949549437313,0.9836257100105286,0.9453873336315156,1.0206449329853058,0.9843640768279632,96
general,13,0.0,unconstrained,15,7,2,0.0138949549437313,0.9497111737728119,0.9182943105697632,0.9907046258449553,0.9570839374015728,96
general,13,0.0,unconstrained,15,7,5,0.0138949549437313,0.907857209444046,0.8707684576511383,0.9476034045219421,0.9117043142517408,96
general,13,0.0,unconstrained,15,7,10,0.0138949549437313,0.8765383958816528,0.8434308618307114,0.9177728891372682,0.8814259090771278,96
general,13,0.0,unconstrained,15,7,20,0.0138949549437313,0.8540313839912415,0.8166410028934479,0.8952434957027435,0.855993481973807,96
general,13,0.0,unconstrained,15,7,50,0.0138949549437313,0.8021153211593628,0.7772924900054932,0.842658668756485,0.8137921107312044,96
general,13,0.0,unconstrained,15,7,100,0.0138949549437313,0.776978611946106,0.7423481196165085,0.8234396129846573,0.7858909163624048,96
general,13,0.0,unconstrained,15,7,200,0.0138949549437313,0.7441250085830688,0.7106206268072128,0.7936874032020569,0.7523802127689123,96
general,13,0.0,unconstrained,15,7,500,0.0138949549437313,0.6833845376968384,0.6488442420959473,0.7179175764322281,0.6874724011868238,96
general,13,0.1,unconstrained,5,2,1,0.0372759372031493,1.0881649255752563,1.0353997349739075,1.1658893525600431,1.0983733255416155,96
general,13,0.1,unconstrained,5,2,2,0.0372759372031493,1.0199079513549805,0.9745697230100631,1.0769185721874235,1.0265526287257671,96
general,13,0.1,unconstrained,5,2,5,0.0372759372031493,0.9491715133190155,0.9021575599908829,0.9903469532728195,0.9469933149715265,96
general,13,0.1,unconstrained,5,2,10,0.0372759372031493,0.9121048450469971,0.8668122738599777,0.9577564895153047,0.9148926287889481,96
