target_kind,complexity,noise_std,model,dim,eig_idx,budget,selected_lr,median_test_rmse,q25_test_rmse,q75_test_rmse,mean_test_rmse,n
monotone,5,0.0,monotone,9,4,20,0.1,0.1814862042665481,0.14291727915406222,0.21963668614625925,0.18574744140884525,96
monotone,5,0.0,monotone,9,4,50,0.0372759372031493,0.12375664338469505,0.09318288415670388,0.17728578299283979,0.13301209921094895,96
monotone,5,0.0,monotone,9,4,100,0.1,0.06605535745620725,0.04466596618294715,0.10986896790564055,0.0786122397985309,96
monotone,5,0.0,monotone,9,4,200,0.1,0.03237268514931195,0.022168930154293727,0.04955508839339015,0.046327061150805045,96
monotone,5,0.0,monotone,9,4,500,0.1,0.01830889098346225,0.010910932905971974,0.027467502746731,0.025419260749913474,96
monotone,5,0.0,monotone,15,7,1,0.1,0.7324032485485077,0.6618563234806061,0.8203891217708588,0.750689131518205,96
monotone,5,0.0,monotone,15,7,2,0.1,0.6261826455593109,0.5733058899641037,0.716569796204567,0.6527735140795509,96
monotone,5,0.0,monotone,15,7,5,0.1,0.33052951097488403,0.28179784119129175,0.41168078780174255,0.3551269620656967,96
monotone,5,0.0,monotone,15,7,10,0.1,0.20415225625038144,0.1711346544325351,0.25298196077346796,0.2197605427354574,96
monotone,5,0.0,monotone,15,7,20,0.1,0.1708383038640022,0.14343450963497156,0.220456063747406,0.18217988564477608,96
monotone,5,0.0,monotone,15,7,50,0.0372759372031493,0.10500668734312055,0.07547482475638385,0.14916798472404477,0.11530195316299792,96
monotone,5,0.0,monotone,15,7,100,0.1,0.0586996134370565,0.03697463218122717,0.11368378996849053,0.07436719446559432,96
monotone,5,0.0,monotone,15,7,200,0.1,0.0304400166496634,0.019067796878516625,0.04034570697695015,0.039386974201382395,96
monotone,5,0.0,monotone,15,7,500,0.1,0.01493285177275535,0.010618541855364975,0.022694766521453826,0.02333766395895504,96
monotone,5,0.0,unconstrained,5,2,1,0.1,0.3628837913274765,0.2767265811562538,0.5478365570306778,0.4008039060669641,96
monotone,5,0.0,unconstrained,5,2,2,0.1,0.29527170956134796,0.2451223768293857,0.33681803196668625,0.2979289746532837,96
monotone,5,0.0,unconstrained,5,2,5,0.0372759372031493,0.24636933207511896,0.18565858528017992,0.2915965616703033,0.2553194287853936,96
monotone,5,0.0,unconstrained,5,2,10,0.0372759372031493,0.18184500187635422,0.1475670412182807,0.28051717579364777,0.2190699020090202,96
monotone,5,0.0,unconstrained,5,2,20,0.0372759372031493,0.13632518798112864,0.1054424159228801,0.23499551415443415,0.167734953497226,96
monotone,5,0.0,unconstrained,5,2,50,0.0372759372031493,0.08068029955029485,0.05623740050941703,0.1170140318572521,0.0926543193054385,96
monotone,5,0.0,unconstrained,5,2,100,0.1,0.0376308225095272,0.02532181143760675,0.0654816944152116,0.046881507136276875,96
monotone,5,0.0,unconstrained,5,2,200,0.1,0.022540711797773803,0.01538690761663015,0.0323135703802108,0.027583180267053295,96
monotone,5,0.0,unconstrained,5,2,500,0.0372759372031493,0.0123258349485695,0.00886021275073285,0.018989572767168224,0.015697073031333223,96
monotone,5,0.0,unconstrained,9,4,1,0.1,0.5349369943141937,0.4488639160990715,0.6251015812158585,0.5469894781708717,96
monotone,5,0.0,unconstrained,9,4,2,0.0372759372031493,0.36033137142658234,0.24907308071851725,0.7200063169002533,0.461790668622901,96
monotone,5,0.0,unconstrained,9,4,5,0.0372759372031493,0.26203688979148865,0.18589608743786806,0.35207448899745936,0.2684658433621128,96
monotone,5,0.0,unconstrained,9,4,10,0.1,0.17772483080625529,0.15009346976876253,0.22032426670193667,0.19205264824753002,96
monotone,5,0.0,unconstrained,9,4,20,0.0372759372031493,0.12950695306062693,0.08950731530785558,0.19023151323199264,0.13806554287051157,96
monotone,5,0.0,unconstrained,9,4,50,0.0372759372031493,0.05995187349617475,0.041971700266003574,0.08988251537084577,0.0687483879155479,96
monotone,5,0.0,unconstrained,9,4,100,0.1,0.027826678007841048,0.021450594533234824,0.04470227099955075,0.03447992031578902,96
monotone,5,0.0,unconstrained,9,4,200,0.1,0.016633965075015952,0.012234051711857274,0.028241262771189175,0.02076497195230326,96
monotone,5,0.0,unconstrained,9,4,500,0.0372759372031493,0.00957763660699125,0.007315743481740276,0.012757008196786,0.010326549541787196,96
monotone,5,0.0,unconstrained,15,7,1,0.1,0.4199161231517792,0.3609126061201095,0.48726954311132425,0.41976954073955614,96
monotone,5,0.0,unconstrained,15,7,2,0.0372759372031493,0.28718413412570953,0.23596305027604098,0.3414537385106086,0.29399249035244185,96
monotone,5,0.0,unconstrained,15,7,5,0.0372759372031493,0.21206238865852356,0.15278256684541694,0.2642601579427719,0.21401704467522598,96
monotone,5,0.0,unconstrained,15,7,10,0.0372759372031493,0.1361902356147766,0.10230319574475286,0.16953140497207636,0.14061677176505324,96
monotone,5,0.0,unconstrained,15,7,20,0.0372759372031493,0.101171039044857,0.0781266242265701,0.12748114019632337,0.106572894185471,96
monotone,5,0.0,unconstrained,15,7,50,0.0372759372031493,0.0413754545152187,0.0315701956860721,0.059216951951384475,0.045515159028582226,96
monotone,5,0.0,unconstrained,15,7,100,0.0372759372031493,0.0204632738605141,0.014062995323911275,0.03028493793681255,0.02303553925109246,96
monotone,5,0.0,unconstrained,15,7,200,0.0372759372031493,0.01447203103452915,0.00983079522848125,0.019428735598921748,0.01621769338089502,96
monotone,5,0.0,unconstrained,15,7,500,0.0138949549437313,0.00835143076255915,0.0058325646677985,0.01212010043673215,0.009076453061425084,96
monotone,10,0.0,monotone,5,2,1,0.1,0.7081713080406189,0.5500612407922745,0.7929749041795731,0.6968207337583104,96
monotone,10,0.0,monotone,5,2,2,0.1,0.5406444072723389,0.43515774607658386,0.6134323626756668,0.5365602221960822,96
monotone,10,0.0,monotone,5,2,5,0.1,0.28206272423267365,0.19416814669966692,0.35778551548719406,0.28958220578109223,96
monotone,10,0.0,monotone,5,2,10,0.1,0.22710909694433207,0.17326474189758295,0.2843334823846817,0.2346364716844012,96
