target_kind,complexity,target_seed,noise_std,model,dim,eig_idx,lr,init_seed,step,train_rmse,val_rmse,test_rmse,seconds
monotone,5,0,0.0,unconstrained,5,2,0.1,1,1,0.8660829067230225,0.27532029151916504,0.2771576941013336,0.0003061250317841768
monotone,5,0,0.0,unconstrained,5,2,0.1,1,2,0.2888736128807068,0.24081607162952423,0.24214030802249908,0.008413625066168606
monotone,5,0,0.0,unconstrained,5,2,0.1,1,5,0.1554100215435028,0.23315443098545074,0.23257169127464294,0.016948333010077477
monotone,5,0,0.0,unconstrained,5,2,0.1,1,10,0.1623770147562027,0.1831836700439453,0.18113020062446594,0.026439375011250377
monotone,5,0,0.0,unconstrained,5,2,0.1,1,20,0.12438458204269409,0.1371246576309204,0.13786357641220093,0.03660158300772309
monotone,5,0,0.0,unconstrained,5,2,0.1,1,50,0.03906203806400299,0.0365343801677227,0.0356791652739048,0.05062570807058364
monotone,5,0,0.0,unconstrained,5,2,0.1,1,100,0.019387174397706985,0.018501490354537964,0.018507063388824463,0.06875575007870793
monotone,5,0,0.0,unconstrained,5,2,0.1,1,200,0.041024286299943924,0.06997551769018173,0.07045700401067734,0.09701374999713153
monotone,5,0,0.0,monotone,5,2,0.0001,0,1,0.7301797270774841,0.662116289138794,0.6640534996986389,0.00044137495569884777
monotone,5,0,0.0,monotone,5,2,0.0001,0,2,0.6164618134498596,0.661899745464325,0.663837730884552,0.00858312495984137
monotone,5,0,0.0,monotone,5,2,0.0001,0,5,0.6735974550247192,0.6612681746482849,0.6632033586502075,0.017186208977364004
monotone,5,0,0.0,monotone,5,2,0.0001,0,10,0.6272892951965332,0.6602175235748291,0.6621472835540771,0.026237791986204684
monotone,5,0,0.0,monotone,5,2,0.0001,0,20,0.5809710621833801,0.6581786274909973,0.6601050496101379,0.0363352500135079
monotone,5,0,0.0,monotone,5,2,0.0001,0,50,0.648571252822876,0.6517891883850098,0.6537270545959473,0.050470041926018894
monotone,5,0,0.0,monotone,5,2,0.0001,0,100,0.5701123476028442,0.6410754323005676,0.6430463194847107,0.06860412494279444
monotone,5,0,0.0,monotone,5,2,0.0001,0,200,0.6588931679725647,0.6198127269744873,0.62179034948349,0.09685587498825043
monotone,5,0,0.0,monotone,5,2,0.0001,1,1,0.8863552808761597,0.8806585669517517,0.8829389810562134,0.00028012506663799286
monotone,5,0,0.0,monotone,5,2,0.0001,1,2,0.8497754335403442,0.8804484009742737,0.8827272653579712,0.008378125028684735
monotone,5,0,0.0,monotone,5,2,0.0001,1,5,0.8118981719017029,0.8798028826713562,0.8820809125900269,0.01687829103320837
monotone,5,0,0.0,monotone,5,2,0.0001,1,10,0.9104967713356018,0.878731906414032,0.8810105323791504,0.02575224998872727
monotone,5,0,0.0,monotone,5,2,0.0001,1,20,0.8345808386802673,0.8766125440597534,0.87889564037323,0.03572258306667209
monotone,5,0,0.0,monotone,5,2,0.0001,1,50,0.9103312492370605,0.8703485131263733,0.872626781463623,0.049615625059232116
monotone,5,0,0.0,monotone,5,2,0.0001,1,100,0.7211265563964844,0.8603328466415405,0.8626376390457153,0.06759129103738815
monotone,5,0,0.0,monotone,5,2,0.0001,1,200,0.8156289458274841,0.8407098650932312,0.8430158495903015,0.09564625006169081
monotone,5,0,0.0,monotone,5,2,0.001,0,1,0.7301797270774841,0.6601872444152832,0.6621065139770508,0.0002655000425875187
monotone,5,0,0.0,monotone,5,2,0.001,0,2,0.6147393584251404,0.6580166816711426,0.659943699836731,0.008279041037894785
monotone,5,0,0.0,monotone,5,2,0.001,0,5,0.6657106280326843,0.6516824960708618,0.6535819172859192,0.01668066601268947
monotone,5,0,0.0,monotone,5,2,0.001,0,10,0.6108726263046265,0.6411279439926147,0.6429747939109802,0.025601916015148163
monotone,5,0,0.0,monotone,5,2,0.001,0,20,0.5479019284248352,0.6205973625183105,0.6224189400672913,0.035554207977838814
monotone,5,0,0.0,monotone,5,2,0.001,0,50,0.5596425533294678,0.557294487953186,0.5592244863510132,0.04941850004252046
monotone,5,0,0.0,monotone,5,2,0.001,0,100,0.40585020184516907,0.45985350012779236,0.4618048667907715,0.06711316597647965
monotone,5,0,0.0,monotone,5,2,0.001,0,200,0.31842517852783203,0.31237271428108215,0.3138495683670044,0.09472279099281877
monotone,5,0,0.0,monotone,5,2,0.001,1,1,0.8863552808761597,0.8787460923194885,0.8810140490531921,0.00029454100877046585
monotone,5,0,0.0,monotone,5,2,0.001,1,2,0.8477985858917236,0.876659095287323,0.8789122104644775,0.008283208007924259
monotone,5,0,0.0,monotone,5,2,0.001,1,5,0.803787887096405,0.8702979683876038,0.8725452423095703,0.0167193750385195
monotone,5,0,0.0,monotone,5,2,0.001,1,10,0.8950844407081604,0.8600736260414124,0.8623341917991638,0.02564541599713266
monotone,5,0,0.0,monotone,5,2,0.001,1,20,0.8027230501174927,0.8409349322319031,0.8432486653327942,0.03534862503875047
monotone,5,0,0.0,monotone,5,2,0.001,1,50,0.8172509074211121,0.7726678848266602,0.774972677230835,0.04926816595252603
monotone,5,0,0.0,monotone,5,2,0.001,1,100,0.5374674797058105,0.6553109288215637,0.6578394174575806,0.06697637494653463
monotone,5,0,0.0,monotone,5,2,0.001,1,200,0.4405328929424286,0.4773273169994354,0.48000749945640564,0.0944889159873128
monotone,5,0,0.0,monotone,5,2,0.01,0,1,0.7301797270774841,0.6409174799919128,0.6426582336425781,0.00027679104823619127
