protocol,optimizer,preprocessor_sample_size,preprocessor_seed,train_size,data_seed,model,preprocessing,matrix_dim,eig_idx,fm_rank,parameters_per_feature,num_parameters,lr,init_seed,train_logloss,val_logloss,val_brier,test_logloss,test_brier,elapsed_seconds
one_pass,adam,3667249,0,16384,0,fm,bucket,0,-1,5,6,7667713,0.001,1,0.6796266734600067,0.6595908628310599,0.2332512952890211,,,19.787007458973676
one_pass,adam,3667249,0,262144,0,fm,bucket,0,-1,5,6,7667713,0.001,1,0.5631473427638412,0.5018496222789144,0.1629613464839536,,,40.56627016700804
one_pass,adam,3667249,0,4194304,0,fm,bucket,0,-1,5,6,7667713,0.001,1,0.4727496449195314,0.4604792154059706,0.14940386236715236,0.4657445324200803,0.1513503900240089,101.33132687502075
one_pass,adam,3667249,0,16384,0,fm,bucket,0,-1,5,6,7667713,0.01,0,0.6130032390356064,0.5500116129877305,0.18298286220516863,0.5557838074830551,0.18558487002260368,19.448869916028343
one_pass,adam,3667249,0,262144,0,fm,bucket,0,-1,5,6,7667713,0.01,0,0.5016314550302923,0.4813596394327824,0.1569012086628224,0.48629149422916634,0.1587482768883344,40.206103791017085
one_pass,adam,3667249,0,4194304,0,fm,bucket,0,-1,5,6,7667713,0.01,0,0.4787023504031822,0.4780082443916531,0.1555370208447299,,,101.99413329095114
one_pass,adam,3667249,0,16384,0,fm,bucket,0,-1,5,6,7667713,0.01,1,0.6129372417926788,0.5508972970202715,0.1834234155522038,0.5569002145005858,0.1861201685946237,19.727802833891474
one_pass,adam,3667249,0,262144,0,fm,bucket,0,-1,5,6,7667713,0.01,1,0.5009016045369208,0.4800032375777911,0.15649761636137263,0.4849614004741583,0.15835918775322408,40.470837833941914
one_pass,adam,3667249,0,4194304,0,fm,bucket,0,-1,5,6,7667713,0.01,1,0.47887614855426364,0.47826163053275716,0.15552822178530182,,,101.94296070898417
one_pass,adam,3667249,0,16384,0,fm,bucket,0,-1,5,6,7667713,0.1,0,4.290082275867462,2.3542406359704575,0.44152231483526594,,,20.02813633403275
one_pass,adam,3667249,0,262144,0,fm,bucket,0,-1,5,6,7667713,0.1,0,1.869507135823369,1.0604119225025785,0.23195778789717844,,,40.229848250048235
one_pass,adam,3667249,0,4194304,0,fm,bucket,0,-1,5,6,7667713,0.1,0,1.629300650616642,2.0464296388796046,0.2554646147982688,,,101.30436091707088
one_pass,adam,3667249,0,16384,0,fm,bucket,0,-1,5,6,7667713,0.1,1,4.100020051002502,1.7508086358059558,0.36505159134620946,,,19.65389270801097
one_pass,adam,3667249,0,262144,0,fm,bucket,0,-1,5,6,7667713,0.1,1,1.8236604817211628,1.0472262688705454,0.23369119917265874,,,40.011423749965616
one_pass,adam,3667249,0,4194304,0,fm,bucket,0,-1,5,6,7667713,0.1,1,1.6249640889000148,2.020078198769522,0.2533029908557441,,,100.68539883301128
