protocol,optimizer,split_seed,train_pool_size,phase,train_size,data_seed,model,dim,rank,parameters_per_identity,num_parameters,lr,init_seed,val_rmse,val_warm_fraction,test_rmse,test_warm_fraction
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.00026826957952797245,6,1.2393762519144491,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.00026826957952797245,6,1.0930265203441236,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.00026826957952797245,6,0.9500451205686232,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.00026826957952797245,6,0.9010139793941523,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.00026826957952797245,7,1.2894817102571083,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.00026826957952797245,7,1.2393762519144491,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.00026826957952797245,7,1.0930265203441236,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.00026826957952797245,7,0.9500451205686232,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.00026826957952797245,7,0.9010139793941523,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.0007196856730011522,0,1.2617485308939178,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.0007196856730011522,0,1.1483996313977378,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.0007196856730011522,0,0.9744380861408082,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.0007196856730011522,0,0.9043277725256222,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.0007196856730011522,0,0.871483374006408,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.0007196856730011522,1,1.2617485308939178,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.0007196856730011522,1,1.1483996313977378,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.0007196856730011522,1,0.9744380861408082,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.0007196856730011522,1,0.9043277725256222,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.0007196856730011522,1,0.871483374006408,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.0007196856730011522,2,1.2617485308939178,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.0007196856730011522,2,1.1483996313977378,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.0007196856730011522,2,0.9744380861408082,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.0007196856730011522,2,0.9043277725256222,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.0007196856730011522,2,0.871483374006408,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.0007196856730011522,3,1.2617485308939178,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.0007196856730011522,3,1.1483996313977378,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.0007196856730011522,3,0.9744380861408082,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.0007196856730011522,3,0.9043277725256222,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.0007196856730011522,3,0.871483374006408,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.0007196856730011522,4,1.2617485308939178,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.0007196856730011522,4,1.1483996313977378,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.0007196856730011522,4,0.9744380861408082,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.0007196856730011522,4,0.9043277725256222,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.0007196856730011522,4,0.871483374006408,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.0007196856730011522,5,1.2617485308939178,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.0007196856730011522,5,1.1483996313977378,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.0007196856730011522,5,0.9744380861408082,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.0007196856730011522,5,0.9043277725256222,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.0007196856730011522,5,0.871483374006408,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.0007196856730011522,6,1.2617485308939178,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.0007196856730011522,6,1.1483996313977378,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.0007196856730011522,6,0.9744380861408082,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.0007196856730011522,6,0.9043277725256222,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.0007196856730011522,6,0.871483374006408,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.0007196856730011522,7,1.2617485308939178,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.0007196856730011522,7,1.1483996313977378,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.0007196856730011522,7,0.9744380861408082,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.0007196856730011522,7,0.9043277725256222,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.0007196856730011522,7,0.871483374006408,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.0019306977288832496,0,1.1947793196702656,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.0019306977288832496,0,1.0162856940076856,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.0019306977288832496,0,0.9173991396543437,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.0019306977288832496,0,0.8726137040791834,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.0019306977288832496,0,0.8587157048510314,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.0019306977288832496,1,1.1947793196702656,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.0019306977288832496,1,1.0162856940076856,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.0019306977288832496,1,0.9173991396543437,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.0019306977288832496,1,0.8726137040791834,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.0019306977288832496,1,0.8587157048510314,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.0019306977288832496,2,1.1947793196702656,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.0019306977288832496,2,1.0162856940076856,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.0019306977288832496,2,0.9173991396543437,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.0019306977288832496,2,0.8726137040791834,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.0019306977288832496,2,0.8587157048510314,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.0019306977288832496,3,1.1947793196702656,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.0019306977288832496,3,1.0162856940076856,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.0019306977288832496,3,0.9173991396543437,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.0019306977288832496,3,0.8726137040791834,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.0019306977288832496,3,0.8587157048510314,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.0019306977288832496,4,1.1947793196702656,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.0019306977288832496,4,1.0162856940076856,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.0019306977288832496,4,0.9173991396543437,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.0019306977288832496,4,0.8726137040791834,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.0019306977288832496,4,0.8587157048510314,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.0019306977288832496,5,1.1947793196702656,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.0019306977288832496,5,1.0162856940076856,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.0019306977288832496,5,0.9173991396543437,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.0019306977288832496,5,0.8726137040791834,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.0019306977288832496,5,0.8587157048510314,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.0019306977288832496,6,1.1947793196702656,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.0019306977288832496,6,1.0162856940076856,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.0019306977288832496,6,0.9173991396543437,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.0019306977288832496,6,0.8726137040791834,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.0019306977288832496,6,0.8587157048510314,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.0019306977288832496,7,1.1947793196702656,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.0019306977288832496,7,1.0162856940076856,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.0019306977288832496,7,0.9173991396543437,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.0019306977288832496,7,0.8726137040791834,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.0019306977288832496,7,0.8587157048510314,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.005179474679231213,0,1.0682443887759387,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.005179474679231213,0,0.9431706483223226,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.005179474679231213,0,0.883978866043027,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.005179474679231213,0,0.8606276292238003,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.005179474679231213,0,0.857985031197672,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.005179474679231213,1,1.0682443887759387,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.005179474679231213,1,0.9431706483223226,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.005179474679231213,1,0.883978866043027,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.005179474679231213,1,0.8606276292238003,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.005179474679231213,1,0.857985031197672,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.005179474679231213,2,1.0682443887759387,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.005179474679231213,2,0.9431706483223226,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.005179474679231213,2,0.883978866043027,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.005179474679231213,2,0.8606276292238003,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.005179474679231213,2,0.857985031197672,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.005179474679231213,3,1.0682443887759387,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.005179474679231213,3,0.9431706483223226,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.005179474679231213,3,0.883978866043027,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.005179474679231213,3,0.8606276292238003,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.005179474679231213,3,0.857985031197672,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.005179474679231213,4,1.0682443887759387,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.005179474679231213,4,0.9431706483223226,0.9791673885565266,,
