target_kind,complexity,target_seed,noise_std,model,dim,lr,init_seed,batch_size,step,train_size,val_rmse,test_rmse
general,5,1,0.0,unconstrained,5,0.001,1,32,200,6400,0.4759979248046875,0.4802592396736145
general,5,1,0.0,unconstrained,5,0.01,0,32,1,32,0.6662730574607849,0.6643992066383362
general,5,1,0.0,unconstrained,5,0.01,0,32,2,64,0.6271219253540039,0.6263523697853088
general,5,1,0.0,unconstrained,5,0.01,0,32,5,160,0.5898422598838806,0.5928021669387817
general,5,1,0.0,unconstrained,5,0.01,0,32,10,320,0.6230494976043701,0.628290593624115
general,5,1,0.0,unconstrained,5,0.01,0,32,20,640,0.5850425958633423,0.5864425301551819
general,5,1,0.0,unconstrained,5,0.01,0,32,50,1600,0.5964102149009705,0.60124671459198
general,5,1,0.0,unconstrained,5,0.01,0,32,100,3200,0.5778660178184509,0.5804216861724854
general,5,1,0.0,unconstrained,5,0.01,0,32,200,6400,0.5754699110984802,0.5784730911254883
general,5,1,0.0,unconstrained,5,0.01,1,32,1,32,1.1990805864334106,1.2040512561798096
general,5,1,0.0,unconstrained,5,0.01,1,32,2,64,1.131638765335083,1.136637568473816
general,5,1,0.0,unconstrained,5,0.01,1,32,5,160,0.9466921091079712,0.9516521096229553
general,5,1,0.0,unconstrained,5,0.01,1,32,10,320,0.7092616558074951,0.7142366170883179
general,5,1,0.0,unconstrained,5,0.01,1,32,20,640,0.4504438638687134,0.4551007151603699
general,5,1,0.0,unconstrained,5,0.01,1,32,50,1600,0.3052820861339569,0.30654177069664
general,5,1,0.0,unconstrained,5,0.01,1,32,100,3200,0.2480877786874771,0.2496478259563446
general,5,1,0.0,unconstrained,5,0.01,1,32,200,6400,0.1593707650899887,0.16053622961044312
general,5,1,0.0,unconstrained,5,0.1,0,32,1,32,0.7767371535301208,0.7779991626739502
general,5,1,0.0,unconstrained,5,0.1,0,32,2,64,0.7594152688980103,0.7634691596031189
general,5,1,0.0,unconstrained,5,0.1,0,32,5,160,0.6415092945098877,0.6458094120025635
general,5,1,0.0,unconstrained,5,0.1,0,32,10,320,0.3633482754230499,0.3637370467185974
general,5,1,0.0,unconstrained,5,0.1,0,32,20,640,0.23970869183540344,0.23877273499965668
general,5,1,0.0,unconstrained,5,0.1,0,32,50,1600,0.0869247317314148,0.08775109797716141
general,5,1,0.0,unconstrained,5,0.1,0,32,100,3200,0.04621557891368866,0.04688243195414543
general,5,1,0.0,unconstrained,5,0.1,0,32,200,6400,0.025719188153743744,0.02614726312458515
general,5,1,0.0,unconstrained,5,0.1,1,32,1,32,0.8464123010635376,0.8528766632080078
general,5,1,0.0,unconstrained,5,0.1,1,32,2,64,0.544236958026886,0.5488589406013489
general,5,1,0.0,unconstrained,5,0.1,1,32,5,160,0.420781672000885,0.42097359895706177
general,5,1,0.0,unconstrained,5,0.1,1,32,10,320,0.3246840536594391,0.3256288766860962
general,5,1,0.0,unconstrained,5,0.1,1,32,20,640,0.24142834544181824,0.24166789650917053
general,5,1,0.0,unconstrained,5,0.1,1,32,50,1600,0.11156012117862701,0.11259370297193527
general,5,1,0.0,unconstrained,5,0.1,1,32,100,3200,0.08923614025115967,0.08918241411447525
general,5,1,0.0,unconstrained,5,0.1,1,32,200,6400,0.04089466482400894,0.04122708737850189
monotone,5,1,0.0,unconstrained,5,0.0001,0,32,1,32,1.579516887664795,1.5743343830108643
monotone,5,1,0.0,unconstrained,5,0.0001,0,32,2,64,1.5785083770751953,1.5733290910720825
monotone,5,1,0.0,unconstrained,5,0.0001,0,32,5,160,1.5754550695419312,1.5702799558639526
monotone,5,1,0.0,unconstrained,5,0.0001,0,32,10,320,1.5704295635223389,1.5652602910995483
monotone,5,1,0.0,unconstrained,5,0.0001,0,32,20,640,1.5607736110687256,1.5556193590164185
monotone,5,1,0.0,unconstrained,5,0.0001,0,32,50,1600,1.53076171875,1.5256808996200562
monotone,5,1,0.0,unconstrained,5,0.0001,0,32,100,3200,1.4812856912612915,1.4763462543487549
monotone,5,1,0.0,unconstrained,5,0.0001,0,32,200,6400,1.3843932151794434,1.3796950578689575
monotone,5,1,0.0,unconstrained,5,0.0001,1,32,1,32,0.18574605882167816,0.18613167107105255
monotone,5,1,0.0,unconstrained,5,0.0001,1,32,2,64,0.18574300408363342,0.1861284226179123
monotone,5,1,0.0,unconstrained,5,0.0001,1,32,5,160,0.18586315214633942,0.18623611330986023
monotone,5,1,0.0,unconstrained,5,0.0001,1,32,10,320,0.18575550615787506,0.1861383467912674
monotone,5,1,0.0,unconstrained,5,0.0001,1,32,20,640,0.18542568385601044,0.18584372103214264
monotone,5,1,0.0,unconstrained,5,0.0001,1,32,50,1600,0.18495173752307892,0.18543671071529388
monotone,5,1,0.0,unconstrained,5,0.0001,1,32,100,3200,0.1846460998058319,0.18521200120449066
monotone,5,1,0.0,unconstrained,5,0.0001,1,32,200,6400,0.1843487024307251,0.18487073481082916
monotone,5,1,0.0,unconstrained,5,0.001,0,32,1,32,1.5703303813934326,1.5651499032974243
monotone,5,1,0.0,unconstrained,5,0.001,0,32,2,64,1.5602502822875977,1.5551011562347412
monotone,5,1,0.0,unconstrained,5,0.001,0,32,5,160,1.5298022031784058,1.5246959924697876
monotone,5,1,0.0,unconstrained,5,0.001,0,32,10,320,1.4800896644592285,1.4750466346740723
monotone,5,1,0.0,unconstrained,5,0.001,0,32,20,640,1.3862775564193726,1.3814010620117188
monotone,5,1,0.0,unconstrained,5,0.001,0,32,50,1600,1.1215760707855225,1.117406964302063
monotone,5,1,0.0,unconstrained,5,0.001,0,32,100,3200,0.8714425563812256,0.8679466247558594
monotone,5,1,0.0,unconstrained,5,0.001,0,32,200,6400,0.6305140852928162,0.6276940703392029
monotone,5,1,0.0,unconstrained,5,0.001,1,32,1,32,0.18516692519187927,0.18564724922180176
