protocol,optimizer,train_pool_size,phase,train_size,data_seed,model,dim,width,num_parameters,lr,init_seed,val_logloss,test_logloss,test_brier
repeated_shuffle,adam,10000000,tuning,67108864,0,linear,0,0,29,0.0001,7,0.6373899796142578,,
repeated_shuffle,adam,10000000,tuning,4096,0,linear,0,0,29,0.00026826957952797245,0,0.7073651824035645,,
repeated_shuffle,adam,10000000,tuning,16384,0,linear,0,0,29,0.00026826957952797245,0,0.7068246256713867,,
repeated_shuffle,adam,10000000,tuning,65536,0,linear,0,0,29,0.00026826957952797245,0,0.7047191055297851,,
repeated_shuffle,adam,10000000,tuning,262144,0,linear,0,0,29,0.00026826957952797245,0,0.6972761220703125,,
repeated_shuffle,adam,10000000,tuning,1048576,0,linear,0,0,29,0.00026826957952797245,0,0.6772627686157227,,
repeated_shuffle,adam,10000000,tuning,4194304,0,linear,0,0,29,0.00026826957952797245,0,0.6504735494995117,,
repeated_shuffle,adam,10000000,tuning,8388608,0,linear,0,0,29,0.00026826957952797245,0,0.6424955370483398,,
repeated_shuffle,adam,10000000,tuning,16777216,0,linear,0,0,29,0.00026826957952797245,0,0.6381903797302246,,
repeated_shuffle,adam,10000000,tuning,33554432,0,linear,0,0,29,0.00026826957952797245,0,0.6371784139099121,,
repeated_shuffle,adam,10000000,tuning,67108864,0,linear,0,0,29,0.00026826957952797245,0,0.6371555892333984,,
repeated_shuffle,adam,10000000,tuning,4096,0,linear,0,0,29,0.00026826957952797245,1,0.7423462216796874,,
repeated_shuffle,adam,10000000,tuning,16384,0,linear,0,0,29,0.00026826957952797245,1,0.7416591283569336,,
repeated_shuffle,adam,10000000,tuning,65536,0,linear,0,0,29,0.00026826957952797245,1,0.7389965339050293,,
repeated_shuffle,adam,10000000,tuning,262144,0,linear,0,0,29,0.00026826957952797245,1,0.7291353555297851,,
repeated_shuffle,adam,10000000,tuning,1048576,0,linear,0,0,29,0.00026826957952797245,1,0.7020992098083496,,
repeated_shuffle,adam,10000000,tuning,4194304,0,linear,0,0,29,0.00026826957952797245,1,0.6611527758178711,,
repeated_shuffle,adam,10000000,tuning,8388608,0,linear,0,0,29,0.00026826957952797245,1,0.647386716430664,,
repeated_shuffle,adam,10000000,tuning,16777216,0,linear,0,0,29,0.00026826957952797245,1,0.6404043251953125,,
repeated_shuffle,adam,10000000,tuning,33554432,0,linear,0,0,29,0.00026826957952797245,1,0.6372784546203614,,
repeated_shuffle,adam,10000000,tuning,67108864,0,linear,0,0,29,0.00026826957952797245,1,0.6371556704101563,,
repeated_shuffle,adam,10000000,tuning,4096,0,linear,0,0,29,0.00026826957952797245,2,0.7280496316223145,,
repeated_shuffle,adam,10000000,tuning,16384,0,linear,0,0,29,0.00026826957952797245,2,0.7273863969116211,,
repeated_shuffle,adam,10000000,tuning,65536,0,linear,0,0,29,0.00026826957952797245,2,0.724755111114502,,
repeated_shuffle,adam,10000000,tuning,262144,0,linear,0,0,29,0.00026826957952797245,2,0.7151163527832032,,
repeated_shuffle,adam,10000000,tuning,1048576,0,linear,0,0,29,0.00026826957952797245,2,0.6877314523010254,,
repeated_shuffle,adam,10000000,tuning,4194304,0,linear,0,0,29,0.00026826957952797245,2,0.6529774162292481,,
repeated_shuffle,adam,10000000,tuning,8388608,0,linear,0,0,29,0.00026826957952797245,2,0.6430991829223632,,
repeated_shuffle,adam,10000000,tuning,16777216,0,linear,0,0,29,0.00026826957952797245,2,0.6381437939758301,,
repeated_shuffle,adam,10000000,tuning,33554432,0,linear,0,0,29,0.00026826957952797245,2,0.637176085510254,,
repeated_shuffle,adam,10000000,tuning,67108864,0,linear,0,0,29,0.00026826957952797245,2,0.6371555894470214,,
repeated_shuffle,adam,10000000,tuning,4096,0,linear,0,0,29,0.00026826957952797245,3,0.7190356212768555,,
repeated_shuffle,adam,10000000,tuning,16384,0,linear,0,0,29,0.00026826957952797245,3,0.7185308220214843,,
repeated_shuffle,adam,10000000,tuning,65536,0,linear,0,0,29,0.00026826957952797245,3,0.7165430420532226,,
repeated_shuffle,adam,10000000,tuning,262144,0,linear,0,0,29,0.00026826957952797245,3,0.7091416677246094,,
repeated_shuffle,adam,10000000,tuning,1048576,0,linear,0,0,29,0.00026826957952797245,3,0.6877879298706054,,
repeated_shuffle,adam,10000000,tuning,4194304,0,linear,0,0,29,0.00026826957952797245,3,0.6547598485717774,,
repeated_shuffle,adam,10000000,tuning,8388608,0,linear,0,0,29,0.00026826957952797245,3,0.6433167959594727,,
repeated_shuffle,adam,10000000,tuning,16777216,0,linear,0,0,29,0.00026826957952797245,3,0.6382831329956055,,
repeated_shuffle,adam,10000000,tuning,33554432,0,linear,0,0,29,0.00026826957952797245,3,0.6371817421875,,
repeated_shuffle,adam,10000000,tuning,67108864,0,linear,0,0,29,0.00026826957952797245,3,0.6371555900268555,,
repeated_shuffle,adam,10000000,tuning,4096,0,linear,0,0,29,0.00026826957952797245,4,0.7486056307373047,,
repeated_shuffle,adam,10000000,tuning,16384,0,linear,0,0,29,0.00026826957952797245,4,0.7478320874633789,,
repeated_shuffle,adam,10000000,tuning,65536,0,linear,0,0,29,0.00026826957952797245,4,0.7448272792663574,,
repeated_shuffle,adam,10000000,tuning,262144,0,linear,0,0,29,0.00026826957952797245,4,0.7335725258483887,,
repeated_shuffle,adam,10000000,tuning,1048576,0,linear,0,0,29,0.00026826957952797245,4,0.7014117502746582,,
repeated_shuffle,adam,10000000,tuning,4194304,0,linear,0,0,29,0.00026826957952797245,4,0.6598730131530762,,
repeated_shuffle,adam,10000000,tuning,8388608,0,linear,0,0,29,0.00026826957952797245,4,0.6472665865478515,,
repeated_shuffle,adam,10000000,tuning,16777216,0,linear,0,0,29,0.00026826957952797245,4,0.6400911444091797,,
repeated_shuffle,adam,10000000,tuning,33554432,0,linear,0,0,29,0.00026826957952797245,4,0.6372584456787109,,
repeated_shuffle,adam,10000000,tuning,67108864,0,linear,0,0,29,0.00026826957952797245,4,0.6371556567993164,,
repeated_shuffle,adam,10000000,tuning,4096,0,linear,0,0,29,0.00026826957952797245,5,0.7523260277099609,,
repeated_shuffle,adam,10000000,tuning,16384,0,linear,0,0,29,0.00026826957952797245,5,0.7515927500610352,,
repeated_shuffle,adam,10000000,tuning,65536,0,linear,0,0,29,0.00026826957952797245,5,0.7487044608459472,,
repeated_shuffle,adam,10000000,tuning,262144,0,linear,0,0,29,0.00026826957952797245,5,0.7380517838134766,,
repeated_shuffle,adam,10000000,tuning,1048576,0,linear,0,0,29,0.00026826957952797245,5,0.705806447265625,,
repeated_shuffle,adam,10000000,tuning,4194304,0,linear,0,0,29,0.00026826957952797245,5,0.6590938154907227,,
repeated_shuffle,adam,10000000,tuning,8388608,0,linear,0,0,29,0.00026826957952797245,5,0.6453471557617187,,
repeated_shuffle,adam,10000000,tuning,16777216,0,linear,0,0,29,0.00026826957952797245,5,0.6390835305175782,,
repeated_shuffle,adam,10000000,tuning,33554432,0,linear,0,0,29,0.00026826957952797245,5,0.6372109356689453,,
repeated_shuffle,adam,10000000,tuning,67108864,0,linear,0,0,29,0.00026826957952797245,5,0.637155615661621,,
repeated_shuffle,adam,10000000,tuning,4096,0,linear,0,0,29,0.00026826957952797245,6,0.7320401166687012,,
repeated_shuffle,adam,10000000,tuning,16384,0,linear,0,0,29,0.00026826957952797245,6,0.7313527531433105,,
repeated_shuffle,adam,10000000,tuning,65536,0,linear,0,0,29,0.00026826957952797245,6,0.7286705056762696,,
repeated_shuffle,adam,10000000,tuning,262144,0,linear,0,0,29,0.00026826957952797245,6,0.7188069295959473,,
repeated_shuffle,adam,10000000,tuning,1048576,0,linear,0,0,29,0.00026826957952797245,6,0.6916866235046387,,
repeated_shuffle,adam,10000000,tuning,4194304,0,linear,0,0,29,0.00026826957952797245,6,0.6570180838317871,,
repeated_shuffle,adam,10000000,tuning,8388608,0,linear,0,0,29,0.00026826957952797245,6,0.6457107991943359,,
repeated_shuffle,adam,10000000,tuning,16777216,0,linear,0,0,29,0.00026826957952797245,6,0.639342105682373,,
