protocol,optimizer,preprocessor_sample_size,preprocessor_seed,phase,train_size,data_seed,model,dim,lr,init_seed,val_logloss,test_logloss,test_brier
one_pass,adam+sparseadam,3667249,0,tuning,262144,0,linear-bucketed,0,0.0019306977288832496,7,0.5077311048282253,,
one_pass,adam+sparseadam,3667249,0,tuning,1048576,0,linear-bucketed,0,0.0019306977288832496,7,0.47495987222031893,,
one_pass,adam+sparseadam,3667249,0,tuning,4194304,0,linear-bucketed,0,0.0019306977288832496,7,0.46267177886437827,,
one_pass,adam+sparseadam,3667249,0,tuning,16777216,0,linear-bucketed,0,0.0019306977288832496,7,0.4582906644222233,,
one_pass,adam+sparseadam,3667249,0,tuning,4096,0,linear-bucketed,0,0.003727593720314938,0,0.662263659649014,,
one_pass,adam+sparseadam,3667249,0,tuning,16384,0,linear-bucketed,0,0.003727593720314938,0,0.5960230968864134,,
one_pass,adam+sparseadam,3667249,0,tuning,65536,0,linear-bucketed,0,0.003727593720314938,0,0.5423015774860905,,
one_pass,adam+sparseadam,3667249,0,tuning,262144,0,linear-bucketed,0,0.003727593720314938,0,0.48905073089140455,,
one_pass,adam+sparseadam,3667249,0,tuning,1048576,0,linear-bucketed,0,0.003727593720314938,0,0.46889783136699625,,
one_pass,adam+sparseadam,3667249,0,tuning,4194304,0,linear-bucketed,0,0.003727593720314938,0,0.46194589856080426,,
one_pass,adam+sparseadam,3667249,0,tuning,16777216,0,linear-bucketed,0,0.003727593720314938,0,0.45892371201469523,,
one_pass,adam+sparseadam,3667249,0,tuning,4096,0,linear-bucketed,0,0.003727593720314938,1,0.662263659649014,,
one_pass,adam+sparseadam,3667249,0,tuning,16384,0,linear-bucketed,0,0.003727593720314938,1,0.5960230968864134,,
one_pass,adam+sparseadam,3667249,0,tuning,65536,0,linear-bucketed,0,0.003727593720314938,1,0.5423015774860905,,
one_pass,adam+sparseadam,3667249,0,tuning,262144,0,linear-bucketed,0,0.003727593720314938,1,0.48905073089140455,,
